Country,Life Expectancy in Years (2023)
Angola,64.617
Burundi,63.651
Benin,60.774
Burkina Faso,61.092
Botswana,69.163
Central African Republic,57.408
Côte d'Ivoire,61.944
Cameroon,63.7
Democratic Republic of the Congo,61.895
Congo,65.772
Comoros,66.777
Cabo Verde,76.059
Djibouti,65.987
Algeria,76.261
Egypt,71.634
Eritrea,68.624
Ethiopia,67.315
Gabon,68.337
Ghana,65.498
Guinea,60.741
Gambia,65.86
Guinea-Bissau,64.085
Equatorial Guinea,63.707
Kenya,63.646
Liberia,62.163
Libya,69.339
Lesotho,57.375
Morocco,75.313
Madagascar,63.632
Mali,60.439
Mozambique,63.611
Mauritania,68.484
Mauritius,74.926
Malawi,67.354
Namibia,67.385
Niger,61.183
Nigeria,54.462
Rwanda,67.785
Sudan,66.331
Senegal,68.683
Sierra Leone,61.786
Somalia,58.816
South Sudan,57.617
Sao Tome and Principe,69.718
Eswatini,64.123
Seychelles,72.862
Chad,55.069
Togo,62.739
Tunisia,76.508
Tanzania,66.995
Uganda,68.252
South Africa,66.139
Zambia,66.349
Zimbabwe,62.775
